NOM_INTER|SIGNALI|LONGITUDE|LATITUDE
Félix-Leclerc, Autoroute ( Côté Nord )   /   Aut. 40 Ouest, Québec, Montréal, Bretelle    --   Québec|Non déterminé|-71.202327|46.870055
Pierre-Bertrand, Boulevard ( Côté Est )   /   Lebourgneuf, Boulevard    --   Québec|Signaux lumineux + phase pour piétons avec décompte numérique + phase de virage à Gauche|-71.285818|46.838666
Saint-Romain, Rue    /   Soret, Rue    --   Québec|Arrêts obligatoires sur toutes les approches|-71.329253|46.870143
Clemenceau, Rue ( Côté Nord )   /   Carrefour, Rue du    --   Québec|Signaux lum. + Phase de piéton + Décompte num. + Signal sonore + Phase de virage à ga.|-71.215376|46.863668
Bourg-Royal, Avenue du ( Côté Ouest )   /   Métayers, Rue des    --   Québec|Arrêts obligatoires sur la rue est-ouest|-71.225899|46.862552
Vaillancourt, Rue    /   Sommeliers, Rue des    --   Québec|Arrêts obligatoires sur toutes les approches|-71.324336|46.871002
Sauternes, Rue de    /   Camille, Rue    --   Québec|Arrêts obligatoires sur toutes les approches|-71.324398|46.875135
Sainte-Foy, Chemin    /   John-West, Rue    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.296605|46.781882
Tricornes, Rue des    /   René-Lafond, Rue    --   Québec|Arrêts obligatoires sur la rue est-ouest|-71.335837|46.874205
Romarin, Rue du    /   Narcisses, Rue des    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.340505|46.880810
Quenouilles, Rue des    /   Romarin, Rue du    --   Québec|Arrêts obligatoires sur la rue est-ouest|-71.338750|46.881584
Saint-François Ouest, Rue    /   Laviolette, Rue    --   Québec|Arrêts obligatoires sur toutes les approches|-71.233129|46.812388
Vézina, Rue    /   Gabare, Rue du    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.344677|46.880605
Vézina, Rue    /   Le Greco, Rue    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.340637|46.882251
Vézina, Rue    /   Degas, Rue    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.339525|46.882735
Griffon, Rue du    /   Gerbes, Avenue des    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.282489|46.843710
Saint-Jacques, Rue    /   Saint-Aimé, Rue    --   L'Ancienne-Lorette|Arrêts obligatoires sur la rue sud-nord|-71.362250|46.801838
Notre-Dame, Avenue    /   Bédard, Chemin    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.467810|46.790606
Bardy, Avenue    /   Desroches, Rue    --   Québec|Arrêts obligatoires sur toutes les approches|-71.223939|46.841381
Albert-Trudel, Rue    /   Louis-Hébert, Rue    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.372424|46.856609
Albert-Trudel, Rue    /   Pélisson, Rue    --   Québec|Arrêts obligatoires sur toutes les approches|-71.367403|46.854002
Racine, Rue    /   Albert-Trudel, Rue    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.362003|46.850064
Racine, Rue    /   Hôpital, Rue de l'    --   Québec|Signaux lumineux + phase pour piétons avec décompte numérique + phase de virage à Gauche|-71.363521|46.848996
Louis-IX, Rue    /   Wilfrid-Caron, Rue    --   Québec|Arrêts obligatoires sur toutes les approches|-71.358487|46.848843
Louis-IX, Rue    /   Monseigneur-Dumas, Rue    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.357770|46.849345
Claude-Geoffrion, Rue    /   Cran, Rue du    --   Québec|Arrêts obligatoires sur la rue est-ouest|-71.355685|46.862657
Claude-Geoffrion, Rue    /   Nord, Rue du    --   Québec|Arrêts obligatoires sur la rue est-ouest|-71.354722|46.861602
Faune, Rue de la    /   Marcel-Cantin, Rue    --   Québec|Arrêts obligatoires sur toutes les approches|-71.363605|46.859123
Faune, Rue de la    /   Poètes, Rue des    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.361954|46.859795
Faune, Rue de la    /   Faber, Rue    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.358218|46.861028
Faune, Rue de la    /   Montagnette, Rue de la    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.353356|46.862746
Faune, Rue de la    /   Myrtilles, Rue des    --   Québec|Arrêts obligatoires sur la rue sud-nord|-71.351353|46.863949
